CMDLINE /data/pgnanoraw/pod5_fork/pod5/python/pod5/venv/bin/python index_bam.py
MEM 0.554688 1691950600.5381
MEM 32.453125 1691950600.6384
MEM 52.453125 1691950600.7387
MEM 59.531250 1691950600.8389
MEM 59.531250 1691950600.9391
MEM 59.789062 1691950601.0393
MEM 59.789062 1691950601.1396
MEM 59.789062 1691950601.2398
MEM 59.789062 1691950601.3401
MEM 60.296875 1691950601.4403
MEM 60.296875 1691950601.5405
MEM 60.296875 1691950601.6407
MEM 60.296875 1691950601.7409
MEM 60.296875 1691950601.8410
MEM 60.550781 1691950601.9412
MEM 60.550781 1691950602.0413
MEM 60.550781 1691950602.1415
MEM 60.550781 1691950602.2416
MEM 60.550781 1691950602.3418
MEM 60.550781 1691950602.4420
MEM 60.808594 1691950602.5422
MEM 60.808594 1691950602.6423
MEM 60.808594 1691950602.7425
MEM 60.808594 1691950602.8427
MEM 60.808594 1691950602.9428
MEM 61.066406 1691950603.0430
MEM 61.066406 1691950603.1432
MEM 61.066406 1691950603.2433
MEM 61.066406 1691950603.3437
MEM 61.324219 1691950603.4439
MEM 61.324219 1691950603.5441
MEM 61.324219 1691950603.6443
MEM 61.324219 1691950603.7445
MEM 61.324219 1691950603.8447
MEM 61.582031 1691950603.9449
MEM 61.582031 1691950604.0451
MEM 61.582031 1691950604.1453
MEM 61.839844 1691950604.2455
MEM 61.839844 1691950604.3458
MEM 61.839844 1691950604.4460
MEM 61.839844 1691950604.5461
MEM 61.839844 1691950604.6463
MEM 62.097656 1691950604.7465
MEM 62.097656 1691950604.8467
MEM 62.097656 1691950604.9469
MEM 62.097656 1691950605.0471
MEM 62.355469 1691950605.1473
MEM 62.355469 1691950605.2476
MEM 62.355469 1691950605.3478
MEM 62.355469 1691950605.4480
MEM 62.355469 1691950605.5481
MEM 62.355469 1691950605.6483
MEM 62.613281 1691950605.7484
MEM 62.613281 1691950605.8486
MEM 62.613281 1691950605.9487
MEM 62.871094 1691950606.0489
MEM 62.871094 1691950606.1491
MEM 62.871094 1691950606.2493
MEM 62.871094 1691950606.3495
MEM 62.871094 1691950606.4497
MEM 62.871094 1691950606.5498
MEM 63.128906 1691950606.6500
MEM 63.128906 1691950606.7502
MEM 63.128906 1691950606.8504
MEM 63.128906 1691950606.9506
